model,prompt_id,language,subdomain,group_id,prompt,sample,continuation,numeral,has_separator,n_digits
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,1,"30,000 and the employer's","30,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,2,53750 and based on her experience,53750,0,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,3,"75,000.

If","75,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,4,80487 and took 12,80487,0,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,5,"9,770. At the end of","9,770",1,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,6,"3,700. If the salary increased","3,700",1,4
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,7,"40,000. According to the","40,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,8,"52,000.00.","52,000.00",1,7
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,9,"90,500 over the year.","90,500",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,10,"27,000, but received only","27,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,11,"72,000. The principal earned","72,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,12,"45,930. The teacher spent","45,930",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,13,"70,000, which grew at","70,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,14,"40,000. The teacher was","40,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,15,"20,000.

####","20,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,16,"35,000 as a junior principal","35,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,17,65 per 100 hours and a,65,0,2
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,18,"45,000$ \displaystyle","45,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,19,"20,000, and at the","20,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,20,"64,000 and was entitled to","64,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,21,"35,000.
If a","35,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,22,"28,000 and a vacation time","28,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,23,"95,000. The instructor’","95,000",1,5
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,24,"146,500. The instructor","146,500",1,6
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,25," 1, 200, 0",1,0,1
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,26,"108,000, with deductions","108,000",1,6
HuggingFaceTB/SmolLM2-360M,census_0297,en,occupation,,The teacher earned an annual salary of $,27,"13, 100, and the",13,0,2
